tag_str rootfileName total_events xsec xsec_weight Legend
QCD_HT700to1000_TuneCUETP8M1 Merged_QCD_HT700to1000_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_0000_1.root 15645481.0 6831.0 15.7180210695 QCD
WminusH_HToBB_WToLNu_M125 Merged_WminusH_HToBB_WToLNu_M125_13TeV_powheg_pythia8_0000_1.root 944303.0 1 0.0381233565921 WminusH
GJets_HT-400To600_TuneCUETP8M1 Merged_GJets_HT-400To600_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 2529729.0 274.4 3.90492420334 GJets
TTWJetsToLNu_TuneCUETP8M1 Merged_TTWJetsToLNu_TuneCUETP8M1_13TeV-amcatnloFXFX-madspin-pythia8_0000_1.root 1494517.0 0.2043 0.00492118858467 TTWJetsToLNu
WWTo2L2Nu Merged_WWTo2L2Nu_13TeV-powheg_0000_1.root 1999000.0 12.178 0.219313656828 WWTo2L2Nu
ZJetsToNuNu_HT-100To200 Merged_ZJetsToNuNu_HT-100To200_13TeV-madgraph_MC25ns_LegacyMC_20170328_0000_1.root 5246318.0 280.35 1.92374918943 ZJetsToNuNu
WZTo1L3Nu Merged_WZTo1L3Nu_13TeV_amcatnloFXFX_madspin_pythia8_0000_1.root 942046.0 3.033 0.115905168113 WZTo1L3Nu
ST_t-channel_top_4f_inclusiveDecays Merged_ST_t-channel_top_4f_inclusiveDecays_13TeV-powhegV2-madspin-pythia8_TuneCUETP8M1_MC25ns_LegacyMC_2017_0001_1.root 22315876.0 136.02 0.219427639766 ST
ZJetsToNuNu_HT-400To600 Merged_ZJetsToNuNu_HT-400To600_13TeV-madgraph_MC25ns_LegacyMC_20170328_0000_1.root 1020309.0 10.73 0.378591191492 ZJetsToNuNu
GJets_HT-100To200_TuneCUETP8M1 Merged_GJets_HT-100To200_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 5131873.0 9238 64.8044096181 GJets
QCD_HT2000toInf_TuneCUETP8M1 Merged_QCD_HT2000toInf_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_0000_1.root 1991645.0 25.24 0.456225883629 QCD
WJetsToLNu_HT-600To800_TuneCUETP8M1 Merged_WJetsToLNu_HT-600To800_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 3909617.0 12.05 0.110957160254 WJetsToLNu
TTToSemilepton_TuneCUETP8M2_ttHtranche3 Merged_TTToSemilepton_TuneCUETP8M2_ttHtranche3_13TeV-powheg-pythia8_0000_1.root 29768448.0 364.35 0.440620888264 TTToSemilepton
ZZTo4Q Merged_ZZTo4Q_13TeV_amcatnloFXFX_madspin_pythia8_0000_1.root 19537436.0 6.842 0.0126071814132 ZZTo4Q
GJets_HT-200To400_TuneCUETP8M1 Merged_GJets_HT-200To400_TuneCUETP8M1_13TeV-madgraphMLM-pythia8_MC25ns_LegacyMC_20170328_0000_1.root 10036487.0 2305 8.26783315716 GJets
